11965,-1.2 ,-0.8 ,-0.8 ,-4.8 
11976,0.0 ,0.0 ,1.0 ,0.0 
11977,0.1 ,0.0 ,0.9 ,0.3 
11978,-1.0 ,1.0 ,0.8 ,1.0 
11979,-0.3 ,-0.5 ,-0.4 ,-2.1 
11983,0.6 ,0.0 ,0.9 ,0.8 
11984,0.3 ,0.8 ,0.4 ,-1.0 
11985,0.0 ,-1.0 ,0.0 ,1.0 
11986,0.7 ,-1.1 ,0.0 ,0.0 
11987,0.3 ,0.8 ,-0.3 ,0.5 
11988,0.1 ,0.4 ,0.8 ,-0.9 
11989,0.3 ,-0.8 ,-1.5 ,1.0 
11996,0.6 ,1.0 ,0.9 ,0.5 
12008,0.0 ,0.3 ,-3.0 ,0.4 
12009,-0.6 ,0.6 ,0.3 ,-2.5 
12011,0.8 ,-1.0 ,-1.5 ,0.6 
12012,1.0 ,0.3 ,0.8 ,0.5 
12013,0.2 ,-1.7 ,0.6 ,1.0 
12014,-2.3 ,1.0 ,0.6 ,0.5 
12016,0.8 ,0.9 ,0.7 ,0.4 
12018,1.0 ,0.9 ,0.8 ,1.0 
12025,0.4 ,-7.0 ,0.5 ,-1.0 
12029,-1.5 ,-3.7 ,-0.1 ,0.6 
12033,1.0 ,-3.0 ,0.8 ,0.6 
12035,-0.8 ,-0.2 ,0.8 ,0.6 
12036,-7.0 ,-0.7 ,0.8 ,0.4 
12038,0.4 ,0.5 ,0.8 ,0.7 
12054,0.8 ,0.6 ,0.7 ,0.9 
12055,0.0 ,-5.7 ,-1.3 ,0.9 
12056,-4.0 ,0.6 ,-0.5 ,-3.8 
12057,0.4 ,0.6 ,0.5 ,0.9 
12059,0.6 ,-0.3 ,0.9 ,0.3 
12060,0.9 ,-0.3 ,0.7 ,0.6 
12065,0.6 ,-0.1 ,-0.7 ,0.5 
12068,0.7 ,0.8 ,0.8 ,0.9 
12069,-0.5 ,0.6 ,-0.3 ,0.6 
12071,0.8 ,0.4 ,0.9 ,0.4 
12074,0.5 ,0.5 ,0.5 ,-0.1 
12088,-2.0 ,0.0 ,-1.0 ,-0.3 
12256,0.9 ,0.0 ,1.0 ,0.8 
12296,0.3 ,0.0 ,0.3 ,0.0 
12298,0.1 ,0.2 ,0.1 ,0.4 
12313,-0.3 ,0.9 ,-0.6 ,-0.2 
12314,0.3 ,1.0 ,0.3 ,0.2 
12315,0.1 ,0.6 ,0.7 ,0.0 
12388,0.6 ,0.6 ,0.6 ,0.9 
12389,-0.8 ,-0.8 ,0.6 ,0.3 
12391,0.8 ,0.8 ,0.9 ,0.6 
12416,-0.9 ,-1.7 ,0.9 ,0.3 
12442,-0.6 ,-2.3 ,1.0 ,0.8 
12448,-1.0 ,0.7 ,1.0 ,0.3 
12449,0.2 ,0.4 ,0.7 ,-3.0 
12473,-1.0 ,0.0 ,0.3 ,0.8 
12474,0.5 ,-3.0 ,1.0 ,0.5 
12476,0.7 ,0.5 ,0.7 ,0.4 
12484,-0.9 ,0.1 ,0.2 ,0.2 
12486,-0.7 ,0.9 ,0.2 ,0.7 
12493,0.6 ,1.0 ,0.8 ,-2.0 
12517,-2.0 ,0.0 ,0.8 ,0.3 
12519,0.0 ,0.9 ,0.8 ,-1.0 
12520,-1.0 ,0.0 ,0.0 ,1.0 
12683,0.9 ,0.9 ,0.0 ,-9.0 
12704,-0.8 ,-1.0 ,-2.8 ,0.1 
12705,0.6 ,0.8 ,0.5 ,0.8 
12719,0.8 ,-0.1 ,0.4 ,0.4 
12720,0.2 ,-6.2 ,0.5 ,0.8 
12722,0.5 ,-5.3 ,0.8 ,0.8 
12782,0.3 ,0.2 ,0.3 ,0.8 
12814,-0.6 ,-1.3 ,0.8 ,-1.8 
12815,0.8 ,0.8 ,0.0 ,0.0 
12816,0.3 ,0.3 ,0.7 ,0.9 
12817,-0.9 ,0.6 ,1.0 ,0.0 
12821,0.5 ,0.0 ,0.5 ,0.0 
12827,0.0 ,0.0 ,1.0 ,0.5 
12828,0.5 ,0.3 ,0.0 ,0.6 
12829,0.0 ,-1.0 ,0.7 ,-1.0 
12854,0.7 ,0.0 ,0.7 ,0.9 
12857,0.6 ,0.0 ,0.2 ,-1.3 
12887,0.4 ,-0.9 ,0.4 ,-0.2 
12911,0.3 ,1.0 ,0.8 ,-1.5 
12920,-2.4 ,0.9 ,1.0 ,-0.1 
12921,0.9 ,0.6 ,0.1 ,0.7 
12922,0.7 ,0.3 ,0.5 ,1.0 
13094,-2.3 ,-1.2 ,-2.3 ,0.0 
13096,1.0 ,0.0 ,0.0 ,0.4 
13101,1.0 ,0.0 ,0.7 ,0.3 
